Penetration,UCS,BTS,Thrust,Torque,CL,Alpha,FS,B1,B2,B3,B4,B5,Bi,SE,TqDTh
5.334,121.6235184,9.756081551,13914.36633,1535.531612,231.9061056,80,0.8,12.4664311,0.851482551,65.68979999,593.2844821,24.35743176,3.721501187,46204.80406,0.110355842
3.81,120.6582524,8.963184464,17317.13131,1527.551268,288.6188551,68,0.8,13.46153846,0.861702128,64.81071843,540.7410867,23.25384026,3.698387175,64350.54091,0.088210411
4.064,119.6240388,8.839078833,13522.82497,1058.030158,225.3804162,60,0.2,13.53354134,0.862387291,64.23155882,528.6831547,22.99311103,3.687864584,41785.51221,0.07824032
4.064,118.2450874,8.652920386,15601.0341,1218.423421,260.0172351,71,0.8,13.66533865,0.863624015,63.44900387,511.5826635,22.6181932,3.673278966,48120.03358,0.078098888
4.572,118.2450874,8.6184466,14338.04165,1308.448376,238.9673608,57,0.8,13.72,0.864130435,63.43176698,509.5444855,22.57309207,3.672545849,45933.73424,0.091257119
3.302,118.9345631,8.101339804,18852.55065,1446.099149,314.2091774,22,1.6,14.68085106,0.872455902,63.51795144,481.764655,21.94913791,3.666526792,70291.43088,0.076705756
3.556,124.4503689,8.308182522,16296.41569,1264.19719,271.6069282,82,1.6,14.97925311,0.874837704,66.37927571,516.9781899,22.73715439,3.712994864,57060.3526,0.077575168
4.318,124.9330019,8.308182522,18297.31473,1854.312883,304.9552455,83,1.6,15.0373444,0.875291074,66.62059222,518.9830915,22.7812004,3.716589497,68925.7912,0.101343444
4.572,125.1398446,8.308182522,17779.81752,1888.849633,296.3302921,64,1.6,15.06224066,0.875484371,66.72401358,519.842335,22.80005121,3.718126867,66309.01047,0.106235603
4.572,125.1398446,8.308182522,16976.53098,1803.830358,282.942183,88,0.2,15.06224066,0.875484371,66.72401358,519.842335,22.80005121,3.718126867,63324.3663,0.106254355
4.064,129.2077514,8.170287377,18411.54951,1788.444536,306.8591585,28,0.8,15.81434599,0.881053952,68.6890194,527.8322302,22.97459968,3.744846396,70632.26924,0.097137101
3.81,129.1732776,8.190971649,16261.80853,1461.052465,271.0301421,69,0.8,15.77020202,0.880740852,68.68212464,529.0273275,23.00059407,3.745070012,61549.17246,0.089845632
3.302,128.9319611,8.23923495,15923.51238,1454.962131,265.3918729,50,1.6,15.64853556,0.879869314,68.58559804,531.1503602,23.04669955,3.744419442,70722.2393,0.091371935
3.048,126.863534,8.397814367,17152.70724,1552.267829,285.8784541,59,2,15.10673235,0.875828321,67.63067416,532.688204,23.08003908,3.732866985,81739.70698,0.090496958
3.302,125.0708971,8.563288542,16087.31369,1312.001975,268.1218948,25,1.6,14.60547504,0.871839851,66.8170928,535.5090898,23.14106933,3.723240543,63773.28707,0.081555069
4.826,122.8990485,8.756341746,16182.71915,1483.746146,269.7119858,66,0.05,14.03543307,0.866980885,65.82769513,538.0730345,23.19640133,3.711105197,49346.19479,0.091687073
4.064,123.3472077,8.928710678,12145.14847,738.9885702,202.4191411,86,1.6,13.81467181,0.864998697,66.13795921,550.6657654,23.46626867,3.71810601,29185.38351,0.060846401
4.064,123.3472077,8.273708736,17339.67489,1558.717455,288.9945816,57,2,14.90833333,0.874279728,65.81045824,510.2694351,22.58914419,3.70396899,61559.49975,0.089893119
4.064,129.6903844,8.963184464,11813.21772,1380.40299,196.886962,64,0.4,14.46923077,0.870711089,69.32678445,581.2194195,24.10849268,3.765737656,54517.20405,0.116852413
4.064,134.447767,8.99765825,15838.49352,1174.013604,263.9748919,73,0.2,14.94252874,0.874549387,71.72271261,604.8575298,24.59385146,3.800536196,46366.12616,0.07412407
3.048,136.1714563,9.032132037,16852.84818,1517.131807,280.880803,62,1.6,15.07633588,0.875593542,72.60179416,614.9592864,24.79837266,3.813388341,79889.50556,0.090022279
2.54,139.2740971,9.238974755,17457.63283,1463.125511,290.9605472,11,2,15.07462687,0.875580316,74.25653591,643.3749334,25.36483655,3.839271075,92454.75424,0.083810075
3.556,141.3425242,9.376869901,18118.55405,1778.199975,301.9759008,52,1.6,15.07352941,0.875571821,75.35969707,662.6752306,25.74247911,3.856302601,80260.1986,0.098142488
3.81,142.032,9.411343687,16388.38267,1756.08794,273.1397112,49,0.4,15.09157509,0.875711359,75.72167183,668.3559831,25.85258175,3.861705336,73978.01385,0.107154438
3.81,142.2388427,9.411343687,14969.54232,1573.509429,249.4923721,50,0.05,15.11355311,0.875880882,75.82509319,669.3293171,25.8713996,3.86311053,66286.60196,0.105114064
3.81,142.2388427,9.411343687,14969.54232,1573.509429,249.4923721,21,0.05,15.11355311,0.875880882,75.82509319,669.3293171,25.8713996,3.86311053,66286.60196,0.105114064
3.81,153.4083495,9.10107961,17520.57962,1826.646062,292.0096603,89,0.8,16.85606061,0.887993212,81.25471454,698.0908007,26.421408,3.930220305,76950.3876,0.104257171
3.81,153.4083495,9.10107961,17520.57962,1826.646062,292.0096603,28,2,16.85606061,0.887993212,81.25471454,698.0908007,26.421408,3.930220305,76950.3876,0.104257171
3.81,154.0978252,8.894236891,16211.67707,1399.037352,270.1946178,48,0.4,17.3255814,0.890862944,81.49603105,685.2912809,26.1780687,3.930108697,58936.68663,0.086298126
3.556,155.8215145,9.032132037,17911.43595,1591.528249,298.5239326,45,1.6,17.2519084,0.890422417,82.42682328,703.7002467,26.52734903,3.944085937,71834.65028,0.088855425
3.556,168.9215534,8.652920386,14967.98989,1513.675827,249.4664982,20,1.6,19.52191235,0.902543195,88.78723687,730.8323764,27.0339116,4.015867748,68320.73118,0.101127529
3.556,170.3005048,8.066866018,15792.27205,1295.705044,263.2045341,26,2,21.11111111,0.909547739,89.18368542,686.8956775,26.20869469,4.00995248,58482.4798,0.082046778
2.794,168.1631301,7.928970872,18447.79807,1350.356709,307.4633011,11,2,21.20869565,0.909945184,88.04605047,666.68028,25.82015259,3.993866434,77571.7318,0.073198802
3.048,153.3394019,7.584233008,15583.11222,1194.674914,259.718537,21,0.8,20.21818182,0.905741217,80.46181746,581.4808767,24.11391459,3.894117257,62909.48995,0.076664719
4.064,154.1667728,6.998178639,14134.47323,1310.612262,235.5745539,61,1.6,22.02955665,0.91315508,80.58247571,539.4433081,23.22591889,3.88371137,51760.91084,0.092724521
3.302,152.7188738,6.722388348,15529.3777,1363.616608,258.8229617,60,1.6,22.71794872,0.915675676,79.72063105,513.3177887,22.65651758,3.86677906,66282.1513,0.087808838
